Hacienda Yunguilla;57.32;CAFE 1200;ALIMENTOS;ALIMENTO;CAFE;Caf‚ 1200  molido  340 gr;5;20.05;20.05;1/6/2022;5.99;2.2191
Hacienda Yunguilla;57.32;CAFE 1200;ALIMENTOS;ALIMENTO;CAFE;Caf‚ 1200  grano  340 gr;5;20.05;20.05;1/6/2022;6.29;2.0912
Hacienda Yunguilla;57.32;CAFE 1200;ALIMENTOS;ALIMENTO;CAFE;Caf‚ 1200ÿ molido 250 gr;6;17.22;17.22;1/6/2022;4.29;1.7341
Hacienda Yunguilla;57.32;CAFE 1200;ALIMENTOS;ALIMENTO;CAFE;Caf‚ 1200ÿ molido 250 gr;16;57.32;17.22;1/6/2022;16.57;6.04
Hacienda Yunguilla;42.86;CAFE 1200;ALIMENTOS;ALIMENTO;CAFE;Caf‚ 1200  grano kilo;4;42.86;42.86;1/6/2022;14.5;4.8879
Hacienda Yunguilla;42.86;CAFE 1200;ALIMENTOS;ALIMENTO;CAFE;Caf‚ 1200  grano kilo;4;42.86;42.86;1/6/2022;14.5;4.89
Hacienda Yunguilla;15.4;CAFE 1200;ALIMENTOS;ALIMENTO;CAFE;Caf‚ 1200ÿ molido 250 gr;6;15.4002;15.4;1/6/2022;4.29;1.7341
Hacienda Yunguilla;15.4;CAFE 1200;ALIMENTOS;ALIMENTO;CAFE;Caf‚ 1200ÿ molido 250 gr;6;15.4;15.4;1/6/2022;4.29;1.73
Hacienda Yunguilla;15.4;CAFE 1200;ALIMENTOS;ALIMENTO;CAFE;Caf‚ 1200ÿ molido 250 gr;6;15.4002;15.4;1/6/2022;4.29;1.7341
Hacienda Yunguilla;15.4;CAFE 1200;ALIMENTOS;ALIMENTO;CAFE;Caf‚ 1200ÿ molido 250 gr;6;15.4;15.4;1/6/2022;4.29;1.73
Hacienda Yunguilla;14.63;CAFE 1200;ALIMENTOS;ALIMENTO;CAFE;Caf‚ 1200ÿ molido 250 gr;6;14.6298;14.63;1/6/2022;4.29;1.7341
Hacienda Yunguilla;14.63;CAFE 1200;ALIMENTOS;ALIMENTO;CAFE;Caf‚ 1200ÿ molido 250 gr;6;14.63;14.63;1/6/2022;4.29;1.73
Hacienda Yunguilla;42.84;CAFE 1200;ALIMENTOS;ALIMENTO;CAFE;Caf‚ 1200  molido kilo;4;42.84;42.84;1/6/2022;14.5;5.8665
Hacienda Yunguilla;42.84;CAFE 1200;ALIMENTOS;ALIMENTO;CAFE;Caf‚ 1200  molido kilo;4;42.84;42.84;1/6/2022;14.5;5.87
